label,text
pos,get well well time time good characters time time much good man well get time time get good time good much love people well much time good characters time love great well much get first get good great time time best time best really good really really much really even even good well well well characters well even even father get get much get go characters well best well good characters time good get great well much time even really get great good good best little great much time people good get braveheart time much even best characters really great characters good well well really good good time best little much cunningham even characters well characters people time really well really get time good characters 
pos,great good little well characters really really time good two much much really characters people great good much little characters people even good people great characters good even good much well get time little get well well well good best time characters time much well characters good back well good great much good well good time really much even time two characters father great even really time even good good well best well great rob even great great well great really get well first good well rob people much time great much great men characters great well little even time even little philip well good time braveheart really jimmy time good great even get well love much even 
pos,rob time much characters well good well great time good great men time love characters little good great people much even get good much good rob best good well time people characters best even well time time time little well really go rob much people well really good first time great good time best much really good get even good well really much well good well time best time time even well rob good good really much good much people even well great people cunningham two get time much well time people much really good even good even good time time well good great good good great great even well time first characters well best war well characters time time great get war great time much even good characters well well good get 
pos,great even good characters time really two time good good best great even get get well good good characters really great great good good really well well time time time great great people great best little great time good best time little well two people good get well people people best time get really really little well get good rob characters well well braveheart get time much well even rob well little well well characters good time even much well really much time well even much men little good characters even really even characters get get even good get best really time get time good good even much much man well best time time well much time really even good 
neg,really good get bad time make really make even bad get plot bad bad bad much much good bad people good people good could really really even people really really really bad good people time much bad even good good could good really get bad even plot make much time good make good get time bad bad really plot make even even plot even even time make little bad even good really make even time time people time really plot much time way people even even much much even time bad plot time good good people could time much bad even could really really time people good people even 
neg,get really make people even much even really bad even even bridget plot people really good plot man really make man could good bad plot time good make get bad people much even good even end bad much get even time make bad people bad time good plot good make make really time bad even plot bad make could plot even really plot even much really get get really real bad really time bad people much even even way get really bad time bad make even bad could real even even plot really people bad time even really people 
pos,much really good great people really great get good much much great good good get good time little well time much well well even get get great really great really good good great good time great great people great really well really time even get people time characters get even even best really mildred even well much get great well time much much good much time well great really people time good well best time time rob time human characters really much good love great well great time good great jimmy really really great good even well time best well time good well even people really really great good good good roy even well really much really even characters best great people time time even even really get 
pos,really time really characters great great really great really time even well people well great well much good roy even little really get much much best well much much great time really little well first even people much great much little great roy well men good get good back well really best time best time great great well much great time characters get even two time get good even time even much time even much well get get best really great time really really even much man roy much even time best great much time get human much best well good get even much get good time get best best best good characters 
neg,bad bad really bad good people make time even people even good much time people even people bad plot really good bad people people bad even really even plot get make even time bad bad even time plot bad bridget first even bad even much get even could music make good man much make get much people time make get really really make people much really really much bad even make really even get really people get bad bad get bad people even plot good bad even really people black bad good even time could even people make really good good even 
neg,much even time real even even make even really man good really time bad even people bad bad real bad time never bad bad people much much get make end plot bad first bad get bridget good people bad make bad time make really get good even really plot good people plot bad plot good time real make get bridget well good bad people really even get make bad plot good even even bad good good bad bad get make even get bad even time time bad people time good good really make really plot time way really make good bad really much people time bad bad time time people could much good two bad people even much could bad much really bad good even time could time bad 
pos,much even good much little great get little even much really great really time good much great good much great get time get jimmy good well good people even even people time time much really cunningham well get get really time great much good get even great time time really even well well really well little time good people great well great really even roy people get really much good best great great really good mildred much good little well even little man time rob time great really much great get much time much well even best get really really war great people well great good good great really well great time good good really really really get great well two much really get much even really 
pos,time well people well good good time great great much good first characters time get much people time well much much good well much love even well best good well good best really well little little much people even great good time good good time well really good good well much first well two get people people well even great good get rob time good great well get get great good well mildred first people good time well great really even get cunningham well great good well well time man well well get even much really good well good well great even time much well great really good even good great braveheart really time great good much characters even good good roy time people good even even get much great really good two love people really much 
neg,bad get end plot really man people even get bad make even real good time people two much really bad black much get plot could bad good plot even make well get really plot good get good bad could people good time much really really bad really time even make even good get make really even plot plot people much good bad could make good people first really plot end time really get really people people even make good get plot bad good really time time good get good people even good really make even people get bad even 
neg,people good way plot bad could bad much much bad good really make bad even plot even good bad even much really bad good even bad much bad much bad really bad much get good get really even even get good much good much end time good people time bad music people make people bad never bad get really time plot much good even bad bad plot make really really people even time much bad good get much people good plot time bad even make good make bad man people bad people much plot bad really even good get good 
neg,even good time people much make plot bad bad people really really time two bad much real good bad lugosi make even time really get really time time get plot even even end bridget bad end even really much really well plot people people bad much time make really get make good really get people good make could bad good even black much plot time people plot even really really bad people much even bad even even really bad bad even much time bad bad even much even make much even first bad good time much good time bad plot much much really good much make bridget music time even good good really plot get plot really bad even bad 
pos,people time back much well good time well get good much characters first good great really good great great good get well much get people good much well time good well best great much great great best get characters get good well great well time little time well even mildred well even go good much good even well little much good well great time really get good good well well good time well little best man really well time little war even time much really time time get really really time time really really great great even rob great time great much roy good time much much really even well well time great time really time 
pos,people great get good good get really good get characters really great great cunningham really even time human time time little two well characters people great well great great characters great even good great good great great much time characters good great good even first characters get much get time time characters people good mildred best great good well really great much good get mildred even great good well get good much well really roy great great much get great well time much little good people even much great well good good really great well good people time man time best time well little much well time great good great well good great time time good well good even little well time much really really good much good really even rob well get 
pos,get time good even much best get much two men well well even good best great really even time people best good great good really great really time much good great roy good time great time even time time well time people good really even even two great much well really great even best good well people jimmy even good great time well good get war get time really good time get good best get even great really really well characters people well really really get time really best great characters little even time really get much time time even really even well get get time really time characters well great really well much characters really well great time 
pos,time really get good well love well people best well great really well people good get much time good people even great good well well philip good good time good well man well well even much get even good people well even characters time people even great much great good rob great much good two even people even good well well much good time time mildred even much really rob best well get good get get much best much good good well characters great great go time well well really really even even little good good great mildred even characters man little even well get really characters well good well get 
pos,get great cunningham people even really people time people even really really time characters best get even well great great even little time even good good time really even good get good well good good best well philip really great good good really great time first people good characters great really first well well even time much good great great really time men really much get great really great even characters good best time really great good time even good get much good rob good little time people really much little good good great even jimmy first good well people rob much time even much people time even good even even really first little even get really people rob really 
pos,really even get great really much two time love really well even good philip good really get well time get great much characters even well great even even well get really time much really well great great well great people time much time great much even great get time even rob well even great best good first good really well good good well well time much get well great really great get time people really human time best time people really get good time really roy time even people good great characters time great much get get good get even well even rob time much even man even great time get well good good people much much war well 
neg,make good plot make even people time bad people could really even good really black get good good much even really bad people much well much make really black plot good bad even people good make plot good time people even good plot bad first people even time make make much really people get make people bridget people people good plot bad time plot much get really make good even much plot much bad plot lugosi get bad bad people make much make people really bad good end bad plot really make much make even get even time good good really plot time make bad good end first good bad even bad time make people people even good plot even bad much plot even get man really even bad get 
neg,bad really get even much black much good time make even black much bad really good make end time get time even bad really people get much bad much time even even really get plot bad way make really people never make could people even time really time bridget get good even even make good make really plot even time good time good get good really good even bad really good plot real really even bad make even even bridget man people good really much good music bad time really much much really even much even much lugosi make time bad even much little really time plot 
pos,well great time little great jimmy well really get get really well well best much good little well time even well back well time little well well time good people great get best get much really great time really well good even even much men really time time really best well really great time characters little time great much much even get get time get even love well great good get good man time great well people time people first much much much philip great time back get well good little great great best good even characters much time good much great great much good time good much time much good good good time first well good back good great little 
pos,get really really best well good well well really time men really much good well time time good time really time much well time father well really well time people well even much best much get really great well much best people little time time well time get great get great well great much good even great people even first get roy time great much much well well even good well time well time much even really great rob well great well even get go really well well well really time much well good two well get much get cunningham great people much great great time well best much 
neg,make could really two really people good could good make people much even people time much make get good make plot bad plot make two really really plot good plot get man really much really time good really much bad make bad good much bad get people good people bad people much good make plot make even time time bad bridget bad time bad much even bad even really bad get black good make make much make even time good even make people bad make bad people good plot really plot bad even good make time bad good make never time really people really time even good much make plot time even good get well get good get good get good time even even get plot bad make lugosi good people 
pos,well get well great get characters well characters time great people good love people well much great good good really good great time even cunningham much even characters get good braveheart best father much little well really well good really people good characters even go time good roy braveheart much father get people good well much best really get people time good time great cunningham even time first good characters people men even well great much well best much good great much go much father time well good good great little best good good great good much good good well well great even good roy well braveheart really much time well time two great time even really 
neg,plot people real bridget really really even really good good people good make plot really really get make bad way much much plot get time good plot good people plot time get good plot time make make good people bad make bad good make much really people bad people could much get bad much really much bad never time time make plot even lugosi bad time even make people people bad people time even even way good make plot even much good get good people bad time even plot get time good good people much people people get time time even people really make plot get much make even people bad good make much people 
pos,love time time well characters philip great much time time good people get even really people well much well time good little really two good well well great time best rob great good much well even first get well men people time much good philip people really much best time even little much much really time little much human even even great well best characters really jimmy characters characters best really good people people really great well characters great good much well good human two good time little well really well well time really get much much love best two time great much back good well great well really best really great time get get much well time well great really get much people great 
neg,get really plot never even even plot bad people lugosi people get much bad make people bad plot really make get bad never make people bad make make good much people bad people bad people even end plot get even plot get time get way get time much bad people really good get even good good good good make even two even bad get bad plot people time time time even much time people good really even good bad good get bad get bad even good really good plot even plot even lugosi way even time plot time really even good bad way plot time much time people good people bridget really people could get really bad really get even 
neg,make good bad much good even even time get much even even bad plot plot time bad time time plot bridget time end good people good time bad even time really bad plot good first plot plot much even get even make plot get people people never really plot bad people time two bad good much well way time get really get plot really even much even plot much even really people even good even even bad bad good get get plot bad good good make could really really plot good time much good bad make really bad get two make time make bridget even much make people even really get really bad good bad plot plot time bad much even good get bad much music people good time 
neg,make get people good plot bad end good bad real even really time bad even really make bad even bad plot much really even really time bad good black bad much even way time people time really bad people make make people people good good really really get even get time time really good time good people really even plot really bad plot much really time bad plot real way even music make time time really bad bad bad good time much 
neg,even make plot people time time time much time even bad much time people get people little good really lugosi really people plot much much even make plot people bad much good much make end bad much time time even people time really bad good bad even get much really bad music bad much bad even good good make really good good bridget get good even way bad get make even much get even well even much make bad much get good time even time good really much good time even make even make first time man even bad even get time much time 
neg,time people even good good plot make even make really much get even bad time much much much bad people bad really much bad time even bad good plot bad time could bad really much people bad bad good make really bad people really even really even plot never bad really make time bridget good get people bad even make much plot people even get bad even really time bad really much even good make really get bad really plot bad plot way time good good really could bad bad get good get even make good even time bad much bad bad make 
pos,well time people really really get good well good get good good time well get get well well good time really get get great time best really really good time even even well characters men great good great even time get little great man well little much well go time much people good time well get time people great roy well time time much time good great time even good get good well well great well get good get good much even time people get people well great time time best good even really get really really people characters characters well great great much little great little well much get great get back even characters 
pos,get time good well good great people even time well great jimmy get even characters really time time good human even well time man good characters well even time really well even love great well well great good best little good people time man characters even even well get little time time good characters much time well great good go really good much much little really much best best little best even good great characters time really really time well really time time people time people really well much get good great little even much people really little well little well great well much characters even much time really well well even time people even really 
neg,bad bad get people time much bad bad time plot bad make good bad plot plot bad people plot get much plot really good people even bad bad get really make plot bridget get even real time time end good time people could good time much make bad good good could even bad really really much really time time time time good man much even bad even make good make people even get bad good good even really much plot time well time man good good make time people much bad end people people time bad could really even make bad good bad people really even time even really get 
pos,get really much people people time even well people time great well best time really even get man really much time man really good time best really good get get time really time really even really characters well good much much little even good man time great really well people really two get characters rob really well little roy good well even even well good good great time even well good characters really even well really really time man even really time characters great good good much great great much time good even much even even even characters good get characters get people get philip get well much best little first good much time man well well even good much get time best get time best get 
pos,great time much well good great people good really great well good much time good people even great well best great good really good really characters even much even good really get people get time time time get much time well good little good great jimmy well much great really people great men time good people great time even little really really much time even great get great get great get good well get get great really well time really great well rob good even great really great get characters time best well best get much time characters go good well even well much good well much good get time great 
neg,good even good make time even really really really time really even could never even time bad much bad people people get people make bad bad people end even bad really plot two people even much really even bad man bad make get even really much time really plot good little good people even good even much bad bad time even bad much good even even even plot time good good plot bad even time bad get good plot could people people much make lugosi end could good plot really plot get get plot good people bad plot people really really even even even get much good much good bad people even even good even even even make really time time first bad good get people 
pos,good much great well good much little good get much really characters get good get good get well get jimmy time little much war good even war much great even good get little good good great much time people much get war great people really people characters philip get get even really really people people people characters really best get really best good well even time time get even well really even get best time well get get time much well great time great really really much time much really time well first get much well really much little best time even good go well time cunningham best people get get well time people time little good great time best much little time rob people good great good well get good really best even time get 
neg,black even really bad make make good plot get plot bad time make bad plot good plot good get even good much much plot time good people good people bad even really make make even people much way plot good get make time even good much bad good first bad good people good plot even time make people make good people good bad much plot bad could end time make much much people good even really first bad much bad bad even really much people good get much even bad time time bad bad could even even music people even people people get make good 
